DayNum,VehId,Trip,Vehicle Speed[km/h],MAF[g/sec],Engine RPM[RPM],Absolute Load[%],OAT[DegC],Fuel Rate[L/hr],Air Conditioning Power[kW]
1.865277102,125,1275,59,11.39000034,1311,43.92156982,13,10,1.42
1.865277102,125,1275,58,11.39000034,1311,43.92156982,6,6,1.67
1.865277102,125,1275,58,2.680000067,1043,43.92156982,-2,11,0.66
1.865277102,125,1275,56,2.680000067,1043,10.58823586,9,6,3.30
1.865277102,125,1275,54,2.670000076,960,10.58823586,29,5,4.18
1.865277102,125,1275,53,2.670000076,960,10.58823586,12,7,2.21
1.865277102,125,1275,51,2.569999933,896,10.58823586,11,15,3.27
1.865277102,125,1275,50,2.559999943,896,11.37254906,16,15,4.02
1.865277102,125,1275,49,2.559999943,896,11.37254906,-4,14,1.58
1.865277102,125,1275,50,8.149999619,1248,11.37254906,17,5,2.73
1.865277102,125,1275,51,8.149999619,1248,11.37254906,18,9,4.81
1.865277102,125,1275,52,16.63999939,1569,11.37254906,22,5,1.67
1.865277102,125,1275,55,16.63999939,1569,43.13725662,7,14,1.17
1.865277102,125,1275,56,2.869999886,1025,43.13725662,16,10,0.10
1.865277102,125,1275,56,2.700000048,1024,43.13725662,17,11,4.49
1.865277102,125,1275,55,2.589999914,915,11.76470566,17,8,0.02
1.865277102,125,1275,54,2.569999933,928,11.76470566,7,8,1.14
1.865277102,125,1275,53,2.569999933,928,11.76470566,-5,12,2.58
1.865277102,125,1275,53,2.589999914,928,11.76470566,11,7,0.22
1.865277102,125,1275,52,2.589999914,928,11.37254906,10,8,2.30
1.865277102,125,1275,52,2.569999933,939,11.37254906,-3,15,1.19
1.865277102,125,1275,51,2.569999933,939,11.37254906,3,6,0.41
1.865277102,125,1275,51,2.869999886,1060,11.37254906,25,5,1.96
1.865277102,125,1275,50,2.869999886,1060,11.37254906,7,14,4.20
1.865277102,125,1275,50,2.869999886,1060,10.98039246,12,6,2.53
1.865277102,125,1275,50,2.869999886,1060,10.98039246,-4,6,3.56
1.865277102,125,1275,49,2.589999914,928,10.98039246,2,11,4.90
1.865277102,125,1275,48,2.589999914,928,10.98039246,-2,13,4.35
1.865277102,125,1275,47,2.589999914,928,10.98039246,4,5,1.08
1.865277102,125,1275,46,2.589999914,928,10.98039246,0,12,2.98
1.865277102,125,1275,46,2.569999933,928,11.37254906,11,13,1.31
1.865277102,125,1275,45,2.569999933,928,11.37254906,8,14,4.18
1.865277102,125,1275,44,2.569999933,928,11.37254906,10,10,1.74
1.865277102,125,1275,44,2.539999962,896,11.37254906,-2,9,4.14
1.865277102,125,1275,42,2.539999962,896,11.37254906,17,12,3.57
1.865277102,125,1275,40,2.539999962,896,11.37254906,-3,4,0.02
1.865277102,125,1275,38,2.539999962,896,11.37254906,24,8,2.35
1.865277102,125,1275,38,2.539999962,896,11.76470566,12,7,2.53
1.865277102,125,1275,36,2.539999962,896,11.76470566,-1,7,4.46
1.865277102,125,1275,33,2.539999962,903,11.76470566,19,11,1.78
1.865277102,125,1275,30,2.539999962,903,11.76470566,0,10,2.90
1.865277102,125,1275,25,2.539999962,864,11.76470566,-1,5,3.40
1.865277102,125,1275,25,2.559999943,896,11.76470566,22,12,2.69
1.865277102,125,1275,26,2.559999943,896,11.76470566,2,6,3.28
1.865277102,125,1275,26,12.01000023,1376,11.76470566,5,7,3.84
1.865277102,125,1275,29,12.01000023,1376,11.76470566,30,11,4.25
1.865277102,125,1275,29,12.44999981,1369,11.76470566,20,14,2.58
1.865277102,125,1275,32,12.44999981,1369,11.76470566,-1,4,1.28
1.865277102,125,1275,32,12.44999981,1369,40,18,13,2.14
1.865277102,125,1275,33,12.44999981,1369,40,28,12,1.56
1.865277102,125,1275,35,13.56999969,1398,40,23,14,1.53
1.865277102,125,1275,37,13.56999969,1398,40,24,4,1.53
1.865277102,125,1275,41,14,1408,40,-4,8,0.00
1.865277102,125,1275,42,14,1408,40,16,4,4.59
1.865277102,125,1275,42,13.39999962,1376,40,20,14,2.97
1.865277102,125,1275,44,13.39999962,1376,40,-3,10,2.13
1.865277102,125,1275,46,13.39999962,1376,40,22,14,3.55
1.865277102,125,1275,46,8.640000343,1184,40,16,8,2.63
1.865277102,125,1275,47,8.640000343,1184,40,1,8,4.87
1.865277102,125,1275,48,8.640000343,1184,40,9,8,1.18
1.865277102,125,1275,48,9.779999733,1248,40,8,10,2.97
1.865277102,125,1275,49,9.779999733,1248,40,29,10,3.68
1.865277102,125,1275,49,9.779999733,1248,32.54901886,-2,14,0.57
1.865277102,125,1275,50,9.779999733,1248,32.54901886,16,9,3.11
1.865277102,125,1275,50,9.779999733,1292,32.54901886,29,7,0.98
1.865277102,125,1275,50,10.14999962,1292,32.54901886,17,8,1.17
1.865277102,125,1275,51,10.14999962,1292,32.54901886,24,11,4.13
1.865277102,125,1275,52,3.069999933,1120,32.54901886,-3,8,4.86
1.865277102,125,1275,51,3.069999933,1120,32.54901886,8,9,2.97
1.865277102,125,1275,51,4.369999886,992,19.2156868,-5,8,2.47
1.865277102,125,1275,51,7.53000021,1088,19.2156868,5,12,1.85
1.865277102,125,1275,52,7.53000021,1088,19.2156868,11,4,1.00
1.865277102,125,1275,52,7.900000095,1376,19.2156868,19,15,1.04
1.865277102,125,1275,52,7.900000095,1376,10.1960783,18,14,1.91
1.865277102,125,1275,52,2.589999914,1056,10.1960783,-5,12,4.77
1.865277102,125,1275,51,2.589999914,1056,10.1960783,16,10,3.90
1.865277102,125,1275,51,7.710000038,1203,10.1960783,8,7,2.91
1.865277102,125,1275,51,2.789999962,1172,10.98039246,15,11,3.36
1.865277102,125,1275,50,2.789999962,1172,10.98039246,12,7,4.36
1.865277102,125,1275,50,6.679999828,1066,10.98039246,22,5,3.19
1.865277102,125,1275,49,6.679999828,1066,10.98039246,17,7,3.58
1.865277102,125,1275,49,8.729999542,1262,10.98039246,24,4,1.66
1.865277102,125,1275,50,8.729999542,1262,10.98039246,13,11,4.35
1.865277102,125,1275,51,8.729999542,1262,25.49019623,21,5,1.26
1.865277102,125,1275,51,8.779999733,1408,25.49019623,8,9,4.24
1.865277102,125,1275,52,8.920000076,1376,25.49019623,20,12,4.98
1.865277102,125,1275,52,8.920000076,1376,25.49019623,4,5,2.11
1.865277102,125,1275,54,10.42000008,1362,32.94117737,10,13,4.89
1.865277102,125,1275,54,5.099999905,1375,32.94117737,29,12,2.42
1.865277102,125,1275,53,5.099999905,1375,32.94117737,17,10,4.70
1.865277102,125,1275,53,2.589999914,972,32.94117737,14,12,1.59
1.865277102,125,1275,51,2.589999914,972,32.94117737,3,13,0.95
1.865277102,125,1275,51,2.589999914,972,11.37254906,0,10,2.24
1.865277102,125,1275,50,2.589999914,972,11.37254906,3,4,2.42
1.865277102,125,1275,50,2.50999999,864,11.37254906,24,4,2.61
1.865277102,125,1275,49,2.50999999,864,11.37254906,9,10,2.73
1.865277102,125,1275,46,2.50999999,864,11.37254906,23,12,0.21
1.865277102,125,1275,46,2.5,896,11.37254906,0,12,3.66
1.865277102,125,1275,44,2.5,896,11.37254906,19,5,3.35
1.865277102,125,1275,40,2.5,896,11.37254906,15,11,1.67
1.865277102,125,1275,40,2.5,898,11.37254906,13,7,0.51
1.865277102,125,1275,39,2.5,898,11.37254906,10,9,0.93
1.865277102,125,1275,35,2.5,898,11.37254906,29,11,3.13
1.865277102,125,1275,35,2.5,893,11.37254906,14,12,3.11
1.865277102,125,1275,31,2.5,893,11.37254906,4,14,2.58
1.865277102,125,1275,31,2.5,890,11.37254906,6,4,4.47
1.865277102,125,1275,29,2.5,890,11.37254906,10,4,2.34
1.865277102,125,1275,26,2.5,890,11.37254906,12,8,3.37
1.865277102,125,1275,26,22.17000008,939,11.37254906,-3,14,0.18
1.865277102,125,1275,27,22.17000008,939,11.37254906,9,13,2.03
1.865277102,125,1275,27,2.569999933,1028,11.37254906,6,9,4.77
1.865277102,125,1275,27,2.569999933,1028,12.15686321,11,13,4.44
1.865277102,125,1275,25,2.569999933,1028,12.15686321,13,8,3.07
1.865277102,125,1275,25,2.529999971,864,12.15686321,27,9,0.10
1.865277102,125,1275,20,2.529999971,864,12.15686321,-2,14,4.90
1.865277102,125,1275,16,2.529999971,864,12.15686321,13,11,1.67
1.865277102,125,1275,16,2.50999999,896,12.15686321,7,6,1.20
1.865277102,125,1275,12,2.50999999,896,12.15686321,28,13,2.56
1.865277102,125,1275,9,2.50999999,896,12.15686321,-1,6,4.04
1.865277102,125,1275,9,2.619999886,928,11.76470566,18,13,4.10
1.865277102,125,1275,5,2.619999886,928,11.76470566,2,8,1.49
1.865277102,125,1275,5,2.599999905,928,11.76470566,19,9,3.89
1.865277102,125,1275,5,2.599999905,928,11.37254906,29,6,4.29
1.865277102,125,1275,5,2.599999905,830,11.37254906,14,7,1.54
1.865277102,125,1275,5,0.730000019,830,11.37254906,12,15,3.69
1.865277102,125,1275,5,0.730000019,830,5.09803915,4,11,2.96
1.865277102,125,1275,5,0.730000019,96,5.09803915,29,14,3.33
1.865277102,125,1275,5,0.639999986,96,5.09803915,-1,10,1.96
1.865277102,125,1275,5,0.639999986,96,22.35294151,29,4,4.56
1.865277102,125,1275,5,0.639999986,0,22.35294151,21,12,4.91
1.865277102,125,1275,5,2.710000038,0,22.35294151,21,11,1.29
1.865277102,125,1275,5,2.710000038,0,0,24,8,2.67
1.865277102,125,1275,5,2.640000105,0,0,14,4,4.25
1.865277102,125,1275,0,2.640000105,0,0,-5,9,2.94
1.865277102,125,1275,0,0.430000007,0,0,13,7,2.36
1.865277102,125,1275,0,0.419999987,0,0,29,10,3.51
1.865277102,125,1275,0,0.419999987,0,0,21,5,4.14
1.865277102,125,1275,0,0.419999987,0,0,7,9,3.58
1.865277102,125,1275,0,0.419999987,0,0,2,6,0.05
1.865277102,125,1275,0,0.430000007,0,0,28,5,0.30
1.865277102,125,1275,0,0.430000007,0,0,26,12,2.68
1.865277102,125,1275,0,0.430000007,0,0,-2,12,3.37
1.865277102,125,1275,0,0.419999987,0,0,8,5,4.44
1.865277102,125,1275,0,0.419999987,0,0,13,14,2.20
1.865277102,125,1275,0,0.419999987,1098,0,7,10,4.34
1.865277102,125,1275,0,6.789999962,1098,0,29,12,2.45
1.865277102,125,1275,0,6.789999962,1098,28.62745094,9,9,3.40
1.865277102,125,1275,6,6.789999962,1098,28.62745094,26,5,1.64
1.865277102,125,1275,6,6.789999962,1376,28.62745094,28,14,1.43
1.865277102,125,1275,6,14.92000008,1376,28.62745094,14,6,4.82
1.865277102,125,1275,13,14.92000008,1376,28.62745094,2,6,2.29
1.865277102,125,1275,22,14.92000008,1376,28.62745094,8,15,1.43
1.865277102,125,1275,22,14.92000008,1696,28.62745094,12,12,0.34
1.865277102,125,1275,22,17.28000069,1696,28.62745094,6,6,2.94
1.865277102,125,1275,27,17.28000069,1696,28.62745094,16,10,3.17
1.062755935,130,954,23,18.98999977,1423,38.03921509,29,12,3.93
1.062755935,130,954,23,18.98999977,1423,59.60784531,20,5,0.94
1.062755935,130,954,28,18.98999977,2089,59.60784531,5,5,4.33
1.062755935,130,954,28,29.82999992,2089,59.60784531,27,4,4.54
1.062755935,130,954,34,29.82999992,2089,59.60784531,5,5,3.19
1.062755935,130,954,37,29.82999992,1700,59.60784531,26,12,2.64
1.062755935,130,954,37,24.70999908,1700,59.60784531,-4,7,0.34
1.062755935,130,954,41,24.70999908,1700,59.60784531,26,4,2.28
1.062755935,130,954,45,34.63000107,2183,59.60784531,4,11,1.96
1.062755935,130,954,45,34.63000107,2183,67.84313965,23,14,0.46
1.062755935,130,954,50,34.63000107,2183,67.84313965,11,8,3.29
1.062755935,130,954,54,4.440000057,1911,67.84313965,14,12,0.30
1.062755935,130,954,52,3.619999886,1304,67.84313965,15,12,1.49
1.062755935,130,954,51,3.619999886,1304,62.74509811,13,11,2.14
1.062755935,130,954,51,5.199999809,1016,62.74509811,13,9,0.52
1.062755935,130,954,51,3.519999981,1101,62.74509811,9,12,1.44
1.062755935,130,954,50,3.519999981,1101,62.74509811,3,11,3.50
1.062755935,130,954,48,3.519999981,1101,62.74509811,-1,5,0.14
1.062755935,130,954,48,3.470000029,1328,62.74509811,-3,8,0.38
1.062755935,130,954,48,3.470000029,1328,11.37254906,4,4,0.41
1.062755935,130,954,47,3.470000029,1328,11.37254906,20,5,4.93
1.062755935,130,954,46,3.569999933,1318,11.37254906,5,11,2.33
1.062755935,130,954,45,3.569999933,1318,11.37254906,4,9,2.98
1.062755935,130,954,45,3.670000076,1298,11.37254906,14,12,4.90
1.062755935,130,954,44,3.670000076,1298,11.37254906,0,13,2.92
1.062755935,130,954,44,3.670000076,1298,12.15686321,17,8,1.52
1.062755935,130,954,44,3.619999886,1276,12.15686321,14,13,0.02
1.062755935,130,954,39,3.619999886,1276,12.15686321,14,8,0.27
1.062755935,130,954,39,3.670000076,1263,12.15686321,0,4,4.09
1.062755935,130,954,33,3.670000076,1263,12.15686321,28,9,1.25
1.062755935,130,954,33,3.720000029,1231,12.15686321,19,10,1.38
1.062755935,130,954,33,3.720000029,1231,13.72549057,28,14,0.57
1.062755935,130,954,29,3.720000029,1231,13.72549057,11,15,4.11
1.062755935,130,954,29,3.670000076,1077,13.72549057,6,5,4.52
1.062755935,130,954,22,3.670000076,1077,13.72549057,24,9,2.90
1.062755935,130,954,14,3.670000076,1077,13.72549057,-1,14,0.22
1.062755935,130,954,14,4.119999886,818,13.72549057,21,7,0.67
1.062755935,130,954,9,4.119999886,818,13.72549057,20,8,2.31
1.062755935,130,954,9,21.87000084,1776,52.54901886,22,9,3.46
1.062755935,130,954,13,21.87000084,1776,52.54901886,3,8,1.37
1.062755935,130,954,21,21.87000084,1776,52.54901886,-5,10,0.29
1.062755935,130,954,21,38.5,2287,52.54901886,16,15,0.76
1.062755935,130,954,36,38.5,2287,52.54901886,-1,14,1.32
1.062755935,130,954,36,40.02999878,2423,52.54901886,26,9,1.03
1.062755935,130,954,43,40.02999878,2423,52.54901886,24,13,1.42
1.062755935,130,954,43,40.02999878,2423,65.09803772,26,10,3.93
1.062755935,130,954,47,40.02999878,2423,65.09803772,26,8,4.12
1.062755935,130,954,47,40.56000137,2273,65.09803772,-1,12,0.70
1.062755935,130,954,55,40.56000137,2273,65.09803772,29,4,4.46
1.062755935,130,954,55,38.5,2346,65.09803772,23,6,3.72
1.062755935,130,954,59,38.5,2346,65.09803772,-1,11,3.59
1.062755935,130,954,61,38.5,2346,65.09803772,7,5,2.99
1.062755935,130,954,61,26.88999939,1892,60.7843132,13,14,1.31
1.062755935,130,954,63,26.88999939,1892,60.7843132,28,14,4.59
1.062755935,130,954,63,18.12000084,1346,60.7843132,26,7,1.19
1.062755935,130,954,63,25.04999924,1856,60.7843132,30,6,1.35
1.062755935,130,954,66,25.04999924,1856,60.7843132,25,6,0.52
1.062755935,130,954,66,25.04999924,1856,65.09803772,8,9,3.07
1.062755935,130,954,66,3.920000076,1140,65.09803772,22,9,2.66
1.062755935,130,954,67,3.920000076,1140,65.09803772,14,12,3.46
1.062755935,130,954,67,16.62000084,1291,65.09803772,7,12,1.69
1.062755935,130,954,68,16.62000084,1291,65.09803772,8,5,0.93
1.062755935,130,954,70,20.93000031,1587,36.86274719,10,14,4.85
1.062755935,130,954,71,20.93000031,1587,36.86274719,1,11,3.27
1.062755935,130,954,70,3.519999981,1345,36.86274719,18,12,1.30
1.062755935,130,954,69,3.519999981,1345,36.86274719,0,4,1.21
1.062755935,130,954,69,3.519999981,1313,36.86274719,7,14,0.64
1.062755935,130,954,68,3.519999981,1313,36.86274719,8,14,4.06
1.062755935,130,954,68,3.519999981,1313,31.76470566,30,12,0.11
1.062755935,130,954,68,17.43000031,1310,31.76470566,-5,11,2.71
1.062755935,130,954,69,17.43000031,1310,31.76470566,23,9,2.97
1.062755935,130,954,69,3.619999886,1183,31.76470566,16,10,1.99
1.062755935,130,954,68,3.619999886,1183,31.76470566,11,15,1.07
1.062755935,130,954,67,6.539999962,1096,30.19607925,9,6,1.82
1.062755935,130,954,66,14.43000031,1137,30.19607925,26,5,2.10
1.062755935,130,954,67,14.43000031,1137,30.19607925,26,6,4.84
1.062755935,130,954,67,28.59000015,1758,30.19607925,20,10,0.14
1.062755935,130,954,69,28.59000015,1758,70.58823395,18,14,0.01
1.062755935,130,954,69,39.5,2410,70.58823395,19,10,0.78
1.062755935,130,954,72,39.5,2410,70.58823395,19,14,0.66
1.062755935,130,954,74,39.5,2410,70.58823395,-4,7,1.24
1.062755935,130,954,76,3.619999886,1253,70.58823395,25,11,0.96
1.062755935,130,954,73,3.619999886,1253,70.58823395,-2,14,0.05
1.062755935,130,954,73,3.619999886,1253,11.76470566,29,13,3.97
1.062755935,130,954,73,3.619999886,1327,11.76470566,20,8,0.53
1.062755935,130,954,71,3.619999886,1327,11.76470566,5,13,3.89
1.062755935,130,954,69,3.619999886,1327,11.76470566,4,13,4.65
1.062755935,130,954,69,4.329999924,1169,11.76470566,-1,11,4.94
1.062755935,130,954,68,4.329999924,1169,11.76470566,12,6,4.34
1.062755935,130,954,68,18.98999977,1654,48.23529434,27,7,3.01
1.062755935,130,954,69,18.98999977,1654,48.23529434,0,15,0.18
1.062755935,130,954,71,18.98999977,1654,48.23529434,8,14,2.94
1.062755935,130,954,71,22.18000031,1645,48.23529434,-3,14,4.26
1.062755935,130,954,72,22.18000031,1645,48.23529434,1,5,3.36
1.062755935,130,954,72,22.5,1948,48.23529434,23,14,0.80
1.062755935,130,954,74,22.5,1948,48.23529434,12,12,1.22
1.062755935,130,954,74,22.5,1948,10.98039246,-3,8,2.43
1.062755935,130,954,74,3.720000029,1351,10.98039246,17,12,4.62
1.062755935,130,954,73,3.720000029,1351,10.98039246,-2,15,4.68
1.062755935,130,954,71,3.720000029,1351,10.98039246,3,12,3.30
1.062755935,130,954,70,5.690000057,1121,10.98039246,29,5,4.52
1.062755935,130,954,69,5.690000057,1121,10.98039246,18,8,2.46
1.062755935,130,954,67,3.470000029,1293,11.37254906,29,8,1.29
1.062755935,130,954,62,3.470000029,1293,11.37254906,20,9,4.97
1.062755935,130,954,62,3.619999886,1310,11.37254906,6,13,2.68
1.062755935,130,954,47,3.619999886,1310,11.37254906,-1,12,1.24
1.062755935,130,954,47,3.619999886,1307,11.37254906,25,10,3.70
1.062755935,130,954,38,3.619999886,1307,12.15686321,28,5,2.28
1.062755935,130,954,38,3.819999933,1152,12.15686321,27,13,0.70
1.062755935,130,954,27,3.819999933,1152,12.15686321,3,15,2.66
1.062755935,130,954,26,11.42000008,1087,12.15686321,19,8,0.69
1.062755935,130,954,28,11.42000008,1087,12.15686321,5,11,2.09
1.062755935,130,954,33,35.08000183,2115,70.58823395,10,12,3.57
1.062755935,130,954,39,35.08000183,2115,70.58823395,17,14,2.00
1.062755935,130,954,39,19.28000069,1611,70.58823395,28,12,3.40
1.062755935,130,954,44,19.28000069,1611,70.58823395,-3,9,1.02
1.062755935,130,954,46,19.28000069,1611,70.58823395,-5,12,3.74
1.062755935,130,954,46,6.96999979,1211,70.58823395,14,6,2.08
1.062755935,130,954,49,6.96999979,1211,70.58823395,26,5,3.04
1.062755935,130,954,49,6.96999979,1211,19.6078434,19,14,2.66
1.062755935,130,954,49,9.960000038,1110,19.6078434,19,7,2.08
1.062755935,130,954,50,9.960000038,1110,19.6078434,5,4,0.14
1.062755935,130,954,51,9.960000038,1110,19.6078434,6,15,0.95
1.062755935,130,954,53,13.82999992,1225,19.6078434,19,12,0.10
1.062755935,130,954,55,13.82999992,1225,19.6078434,21,7,1.55
1.062755935,130,954,57,6.820000172,1068,27.84313774,4,13,4.06
1.062755935,130,954,58,6.820000172,1068,27.84313774,26,5,0.30
1.062755935,130,954,58,3.519999981,1317,27.84313774,24,6,2.38
1.062755935,130,954,57,3.519999981,1317,27.84313774,21,10,2.83
1.062755935,130,954,57,5.019999981,1087,27.84313774,10,9,2.05
1.062755935,130,954,58,5.019999981,1087,27.84313774,4,4,3.04
1.062755935,130,954,58,5.019999981,1087,17.64705849,21,14,3.71
1.062755935,130,954,58,6.900000095,1091,17.64705849,21,14,1.38
1.062755935,130,954,59,6.900000095,1091,17.64705849,23,10,4.19
1.062755935,130,954,59,15.94999981,1245,17.64705849,-5,14,4.24
1.062755935,130,954,60,15.94999981,1245,17.64705849,3,5,3.67
1.062755935,130,954,62,15.94999981,1245,17.64705849,15,15,1.93
1.062755935,130,954,62,3.109999895,1205,10.58823586,26,11,4.69
1.062755935,130,954,64,3.109999895,1205,10.58823586,27,8,0.85
1.062755935,130,954,63,3.109999895,1205,10.58823586,8,14,4.56
1.062755935,130,954,63,3.670000076,1336,10.58823586,6,9,2.22
1.062755935,130,954,63,4.119999886,1324,10.58823586,18,11,0.75
1.062755935,130,954,63,4.119999886,1324,20.7843132,13,11,0.35
1.062755935,130,954,64,4.119999886,1324,20.7843132,26,4,4.18
1.062755935,130,954,64,3.619999886,1279,20.7843132,22,14,4.12
1.062755935,130,954,65,3.619999886,1279,20.7843132,16,11,2.07
1.062755935,130,954,65,3.569999933,1327,20.7843132,27,12,0.35
1.062755935,130,954,64,3.569999933,1327,20.7843132,-4,13,3.35
1.062755935,130,954,64,3.470000029,1307,11.37254906,2,5,1.82
1.062755935,130,954,64,3.519999981,1303,11.37254906,11,8,0.24
1.062755935,130,954,62,3.519999981,1303,11.37254906,9,15,3.50
1.062755935,130,954,62,3.569999933,1301,11.37254906,19,12,2.13
1.062755935,130,954,61,3.569999933,1301,11.37254906,7,13,3.39
1.062755935,130,954,61,3.569999933,1301,11.76470566,17,7,2.88
1.062755935,130,954,61,3.569999933,1300,11.76470566,8,6,3.51
1.062755935,130,954,59,3.569999933,1300,11.76470566,9,7,2.61
1.062755935,130,954,58,3.569999933,1300,11.76470566,10,7,3.63
1.062755935,130,954,57,3.569999933,1300,11.76470566,9,8,0.48
1.062755935,130,954,56,3.569999933,1300,11.37254906,6,6,1.23
1.062755935,130,954,56,3.519999981,1301,11.37254906,25,10,3.87
1.062755935,130,954,55,3.519999981,1301,11.37254906,-3,7,3.19
1.062755935,130,954,54,3.519999981,1301,11.37254906,4,7,2.56
1.062755935,130,954,54,4.440000057,1062,11.37254906,5,9,1.76
1.062755935,130,954,54,3.470000029,1338,14.50980377,11,11,0.94
1.062755935,130,954,52,3.470000029,1338,14.50980377,24,6,0.94
1.062755935,130,954,52,14.43000031,1181,14.50980377,10,13,0.25
1.062755935,130,954,54,14.43000031,1181,14.50980377,16,7,1.93
1.062755935,130,954,54,11.42000008,1173,14.50980377,20,8,0.50
1.062755935,130,954,55,11.42000008,1173,14.50980377,1,8,3.89
1.062755935,130,954,55,11.42000008,1173,28.62745094,24,10,4.34
1.062755935,130,954,56,11.42000008,1173,28.62745094,18,15,4.74
1.062755935,130,954,56,3.24000001,1131,28.62745094,5,8,0.13
1.062755935,130,954,57,3.24000001,1131,28.62745094,22,14,1.11
1.062755935,130,954,56,3.24000001,1131,28.62745094,-1,6,0.73
1.062755935,130,954,56,5.199999809,1067,28.62745094,14,7,1.36
1.062755935,130,954,56,3.430000067,1074,13.33333397,-2,15,1.32
1.062755935,130,954,57,3.430000067,1074,13.33333397,5,13,1.13
1.062755935,130,954,58,3.430000067,1074,13.33333397,4,12,0.16
1.062755935,130,954,58,5.940000057,1069,13.33333397,-3,11,3.28
1.062755935,130,954,59,5.940000057,1069,13.33333397,28,6,3.67
1.062755935,130,954,60,5.940000057,1069,13.33333397,8,10,4.32
1.062755935,130,954,60,6.679999828,1100,13.33333397,25,13,0.04
1.062755935,130,954,62,6.679999828,1100,13.33333397,30,5,2.20
1.062755935,130,954,62,6.679999828,1100,24.31372643,17,15,3.67
1.062755935,130,954,63,6.679999828,1100,24.31372643,2,13,0.24
1.062755935,130,954,63,3.920000076,1126,24.31372643,1,14,3.31
1.062755935,130,954,65,3.920000076,1126,24.31372643,-5,14,1.99
1.062755935,130,954,66,3.920000076,1126,24.31372643,29,12,1.67
1.062755935,130,954,66,13.94999981,1258,24.31372643,24,9,2.60
1.062755935,130,954,68,13.94999981,1258,24.31372643,27,8,3.70
1.062755935,130,954,70,13.94999981,1258,24.31372643,-2,12,2.62
1.062755935,130,954,70,4.900000095,1283,24.31372643,-4,9,4.36
1.062755935,130,954,70,4.070000172,1143,24.31372643,30,14,2.76
1.062755935,130,954,71,4.070000172,1143,24.31372643,-4,6,1.32
1.062755935,130,954,71,3.670000076,1330,24.31372643,17,15,3.08
1.062755935,130,954,69,3.670000076,1330,24.31372643,19,5,3.03
1.062755935,130,954,69,3.670000076,1330,23.13725472,11,15,0.91
1.062755935,130,954,69,9.590000153,1120,23.13725472,23,7,4.77
1.062755935,130,954,69,21.70999908,1631,23.13725472,26,15,0.99
1.062755935,130,954,71,21.70999908,1631,23.13725472,18,7,4.54
1.062755935,130,954,73,21.70999908,1631,23.13725472,13,6,2.86
1.062755935,130,954,73,30.04000092,2092,32.54901886,4,13,3.51
1.062755935,130,954,76,30.04000092,2092,32.54901886,19,10,4.17
1.062755935,130,954,76,8.319999695,1301,32.54901886,-1,9,2.54
1.062755935,130,954,76,3.24000001,1259,32.54901886,23,8,3.48
1.062755935,130,954,77,3.24000001,1259,32.54901886,17,15,4.01
1.062755935,130,954,77,3.24000001,1259,10.58823586,17,14,0.34
1.062755935,130,954,77,3.619999886,1328,10.58823586,20,9,1.11
1.062755935,130,954,76,3.619999886,1328,10.58823586,2,7,2.25
1.062755935,130,954,75,3.619999886,1328,10.58823586,10,13,4.02
1.062755935,130,954,75,3.569999933,1322,10.58823586,-1,12,4.22
1.062755935,130,954,73,3.569999933,1322,10.58823586,17,4,1.32
1.062755935,130,954,72,3.519999981,1301,11.37254906,6,13,4.78
1.062755935,130,954,70,5.079999924,1127,11.37254906,4,7,1.33
1.062755935,130,954,70,3.619999886,1297,11.37254906,17,7,2.12
1.062755935,130,954,68,3.619999886,1297,11.37254906,26,14,3.66
1.062755935,130,954,68,3.619999886,1297,10.98039246,25,13,3.60
1.062755935,130,954,67,3.569999933,1319,10.98039246,12,15,2.44
1.062755935,130,954,66,3.569999933,1319,10.98039246,22,7,2.92
1.062755935,130,954,66,17.84000015,1484,10.98039246,22,5,0.48
1.062755935,130,954,67,17.84000015,1484,10.98039246,3,7,0.74
1.062755935,130,954,68,17.84000015,1484,10.98039246,1,5,1.33
1.062755935,130,954,68,17.84000015,1484,58.4313736,17,5,0.30
1.062755935,130,954,68,18.85000038,1461,58.4313736,6,9,2.68
1.062755935,130,954,69,18.85000038,1461,58.4313736,7,4,3.82
1.062755935,130,954,69,24.70999908,1851,58.4313736,-2,11,0.21
1.062755935,130,954,71,24.70999908,1851,58.4313736,11,8,0.07
1.062755935,130,954,72,24.70999908,1851,58.4313736,24,5,4.21
1.062755935,130,954,72,10.42000008,1164,58.4313736,7,10,2.25
1.062755935,130,954,72,10.42000008,1164,43.52941132,12,11,1.84
1.062755935,130,954,72,6.610000134,1179,43.52941132,-4,13,3.04
1.062755935,130,954,71,6.610000134,1179,43.52941132,7,15,0.56
1.062755935,130,954,71,3.720000029,1340,43.52941132,10,13,4.69
1.062755935,130,954,71,3.720000029,1340,23.13725472,3,15,2.54
1.062755935,130,954,71,8.409999847,1152,23.13725472,26,5,2.85
1.062755935,130,954,71,6.610000134,1190,23.13725472,26,5,4.58
1.062755935,130,954,72,6.610000134,1190,23.13725472,-2,8,3.83
1.062755935,130,954,72,7.429999828,1182,26.27450943,27,5,0.51
1.062755935,130,954,72,14.31000042,1273,26.27450943,15,8,0.29
1.062755935,130,954,73,14.31000042,1273,26.27450943,0,15,3.61
1.062755935,130,954,73,5.079999924,1186,26.27450943,-2,7,4.58
1.062755935,130,954,73,5.079999924,1186,19.2156868,19,15,1.37
1.062755935,130,954,73,5.690000057,1157,19.2156868,8,12,4.95
